,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Airport IATA,Year,Type ,Month ,Arrival/Departure,Destination_City ,Pax,ATMs,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Alula, 734 , 8 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Alula, 606 , 9 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Alula, 467 , 9 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Alula, 515 , 9 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Alula, 984 , 9 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Alula, 286 , 8 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Alula, 390 , 9 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Alula, 927 , 9 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Alula, 749 , 8 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Alula, 517 , 9 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Alula, 599 , 8 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Alula, 592 , 10 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Alula, 435 , 8 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Alula, 548 , 9 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Alula, 480 , 9 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Alula, 284 , 8 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Alula, 379 , 9 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Bisha," 2,135 ", 14 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Bisha," 1,783 ", 12 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Bisha," 1,062 ", 9 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Bisha," 2,032 ", 13 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Bisha," 1,818 ", 13 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Bisha," 2,173 ", 23 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Bisha," 2,975 ", 31 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Bisha," 4,597 ", 27 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Bisha," 1,805 ", 12 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Bisha," 1,903 ", 14 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Bisha," 2,203 ", 14 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Bisha," 1,570 ", 12 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Bisha," 1,355 ", 9 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Bisha," 1,681 ", 13 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Bisha," 1,889 ", 13 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Bisha," 2,962 ", 23 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Bisha," 4,843 ", 31 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Bisha," 2,941 ", 27 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Bisha," 1,369 ", 12 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Bisha," 1,747 ", 14 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Hail," 3,644 ", 28 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Hail," 3,175 ", 24 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Hail," 2,196 ", 22 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Hail," 3,794 ", 26 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Hail," 3,613 ", 26 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Hail," 2,925 ", 21 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Hail," 3,410 ", 22 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Hail," 3,818 ", 23 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Hail," 3,409 ", 27 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Hail," 4,839 ", 35 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Hail," 3,987 ", 28 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Hail," 3,376 ", 24 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Hail," 2,947 ", 22 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Hail," 3,304 ", 26 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Hail," 3,978 ", 26 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Hail," 3,161 ", 21 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Hail," 3,684 ", 22 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Hail," 3,655 ", 23 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Hail," 3,623 ", 27 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Hail," 4,811 ", 35 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Jeddah," 110,512 ", 705 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Jeddah," 89,260 ", 623 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Jeddah," 108,494 ", 820 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Jeddah," 106,989 ", 691 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Jeddah," 84,876 ", 715 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Jeddah," 92,959 ", 680 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Jeddah," 96,843 ", 657 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Jeddah," 113,804 ", 671 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Jeddah," 96,758 ", 672 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Jeddah," 98,977 ", 681 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Jeddah," 109,150 ", 703 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Jeddah," 90,417 ", 623 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Jeddah," 123,818 ", 821 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Jeddah," 89,614 ", 693 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Jeddah," 104,464 ", 716 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Jeddah," 95,858 ", 681 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Jeddah," 109,647 ", 657 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Jeddah," 90,937 ", 674 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Jeddah," 89,169 ", 673 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Jeddah," 97,902 ", 680 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Jizan ," 10,784 ", 66 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Jizan ," 9,160 ", 56 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Jizan ," 9,073 ", 72 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Jizan ," 13,401 ", 80 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Jizan ," 11,803 ", 85 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Jizan ," 12,777 ", 92 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Jizan ," 14,107 ", 97 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Jizan ," 16,583 ", 98 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Jizan ," 13,272 ", 93 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Jizan ," 14,739 ", 100 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Jizan ," 10,778 ", 66 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Jizan ," 9,416 ", 57 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Jizan ," 11,724 ", 72 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Jizan ," 10,675 ", 80 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Jizan ," 12,763 ", 85 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Jizan ," 13,528 ", 92 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Jizan ," 16,987 ", 97 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Jizan ," 15,508 ", 98 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Jizan ," 12,124 ", 94 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Jizan ," 14,354 ", 98 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Madinah," 27,328 ", 180 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Madinah," 22,098 ", 146 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Madinah," 20,925 ", 183 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Madinah," 24,810 ", 146 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Madinah," 20,081 ", 161 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Madinah," 20,951 ", 151 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Madinah," 24,237 ", 157 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Madinah," 27,491 ", 164 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Madinah," 26,240 ", 180 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Madinah," 26,665 ", 184 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Madinah," 26,615 ", 180 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Madinah," 20,288 ", 146 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Madinah," 25,285 ", 183 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Madinah," 20,585 ", 146 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Madinah," 22,725 ", 162 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Madinah," 21,075 ", 151 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Madinah," 26,800 ", 158 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Madinah," 24,597 ", 164 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Madinah," 23,629 ", 180 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Madinah," 25,210 ", 184 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Najran," 9,467 ", 76 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Najran," 8,563 ", 68 ,,,,,,,,
